Fiscal Year Released,Recidivism Reporting Year,Race - Ethnicity,Sex,Age At Release ,Convicting Offense Classification,Convicting Offense Type,Convicting Offense Subtype,Release Type,Main Supervising District,Recidivism - Return to Prison,Recidivism Type,Days to Recidivism,New Conviction Offense Classification,New Conviction Offense Type,New Conviction Offense Sub Type,Part of Target Population,Sort Number,Initial Supervision Status,Recidivism Supervision Status
2013,2016,White - Non-Hispanic,,25-34,C Felony,Violent,Sex,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,25-34,C Felony,Violent,Sex,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,55 and Older,C Felony,Drug,Trafficking,Parole Granted,5JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,55 and Older,C Felony,Drug,Trafficking,Parole Granted,5JD,No,Parole Granted,,,,,Yes,,,
2013,2016,American Indian or Alaska Native - Non-Hispanic,,55 and Older,C Felony,Violent,Sex,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,55 and Older,D Felony,Property,Burglary,Parole Granted,5JD,No,Parole Granted,,,,,Yes,,,
2013,2016,Black - Non-Hispanic,,25-34,B Felony,Violent,Murder/Manslaughter,Paroled to Detainer - U.S. Marshall,,No,Paroled to Detainer - U.S. Marshall,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,Under 25,C Felony,Violent,Murder/Manslaughter,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,Black - Non-Hispanic,,Under 25,D Felony,Property,Burglary,Parole Granted,7JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Hispanic,,35-44,Aggravated Misdemeanor,Public Order,Traffic,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,35-44,D Felony,Public Order,Weapons,Parole Granted,7JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,45-54,Aggravated Misdemeanor,Public Order,Traffic,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,45-54,B Felony,Drug,Trafficking,Parole Granted,1JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,45-54,B Felony,Drug,Trafficking,Parole Granted,1JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,45-54,B Felony,Drug,Trafficking,Parole Granted,1JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,45-54,B Felony,Drug,Trafficking,Parole Granted,1JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,35-44,Aggravated Misdemeanor,Property,Theft,Parole Granted,1JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Hispanic,,45-54,Aggravated Misdemeanor,Public Order,OWI,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,55 and Older,D Felony,Drug,Trafficking,Parole Granted,,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,45-54,Aggravated Misdemeanor,Property,Vandalism,Parole Granted,5JD,No,Parole Granted,,,,,Yes,,,
2013,2016,Black - Non-Hispanic,,25-34,C Felony,Other,Other Violent,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,25-34,C Felony,Violent,Murder/Manslaughter,Parole Granted,6JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Assault,Paroled w/Immediate Discharge,,No,Paroled w/Immediate Discharge,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,35-44,D Felony,Drug,Drug Possession,Parole Granted,8JD,No,Parole Granted,,,,,Yes,,,
2013,2016,Black - Non-Hispanic,,45-54,Felony - Enhancement to Original Penalty,Other,Other Criminal,Parole Granted,5JD,No,Parole Granted,,,,,Yes,,,
2013,2016,Black - Non-Hispanic,,45-54,Felony - Enhancement to Original Penalty,Other,Other Criminal,Parole Granted,5JD,No,Parole Granted,,,,,Yes,,,
2013,2016,Black - Non-Hispanic,,45-54,Felony - Enhancement to Original Penalty,Other,Other Criminal,Parole Granted,5JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Hispanic,,35-44,D Felony,Property,Burglary,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,Black - Non-Hispanic,,35-44,C Felony,Property,Burglary,Parole Granted,7JD,No,Parole Granted,,,,,Yes,,,
2013,2016,Black - Non-Hispanic,,35-44,C Felony,Drug,Trafficking,Parole Granted,6JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,25-34,C Felony,Property,Burglary,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,25-34,C Felony,Property,Burglary,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,25-34,C Felony,Property,Burglary,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,35-44,B Felony,Drug,Trafficking,Parole Granted,3JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,35-44,B Felony,Drug,Trafficking,Parole Granted,3JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Other,Other Criminal,Released to Special Sentence,8JD,No,Released to Special Sentence,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,25-34,D Felony,Public Order,OWI,Parole Granted,7JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,25-34,D Felony,Public Order,OWI,Parole Granted,7JD,No,Parole Granted,,,,,Yes,,,
2013,2016,American Indian or Alaska Native - Non-Hispanic,,25-34,Aggravated Misdemeanor,Public Order,Alcohol,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Property,Burglary,Parole Granted,5JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Property,Burglary,Parole Granted,5JD,No,Parole Granted,,,,,Yes,,,
2013,2016,Black - Non-Hispanic,,25-34,D Felony,Drug,Drug Possession,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,Black - Non-Hispanic,,25-34,D Felony,Drug,Drug Possession,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,Black - Non-Hispanic,,25-34,D Felony,Drug,Drug Possession,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,Black - Non-Hispanic,,25-34,D Felony,Drug,Drug Possession,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,25-34,D Felony,Drug,Drug Possession,Parole Granted,8JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,55 and Older,D Felony,Drug,Trafficking,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,35-44,Aggravated Misdemeanor,Property,Theft,Parole Granted,8JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,35-44,C Felony,Violent,Robbery,Parole Granted,5JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,25-34,C Felony,Violent,Sex,Paroled to Detainer - U.S. Marshall,,No,Paroled to Detainer - U.S. Marshall,,,,,Yes,,,
2013,2016,Black - Non-Hispanic,,35-44,Aggravated Misdemeanor,Other,Other Criminal,Released to Special Sentence,5JD,No,Released to Special Sentence,,,,,Yes,,,
2013,2016,White - Hispanic,,25-34,Aggravated Misdemeanor,Public Order,Other Public Order,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,Black - Non-Hispanic,,25-34,Aggravated Misdemeanor,Violent,Assault,Parole Granted,5JD,No,Parole Granted,,,,,Yes,,,
2013,2016,Black - Non-Hispanic,,25-34,Aggravated Misdemeanor,Violent,Assault,Parole Granted,5JD,No,Parole Granted,,,,,Yes,,,
2013,2016,Black - Non-Hispanic,,25-34,Aggravated Misdemeanor,Violent,Assault,Parole Granted,5JD,No,Parole Granted,,,,,Yes,,,
2013,2016,Black - Non-Hispanic,,25-34,D Felony,Public Order,OWI,Parole Granted,5JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,25-34,D Felony,Violent,Assault,Parole Granted,6JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,45-54,Special Sentence 2005,Violent,Sex,Released to Special Sentence,5JD,No,Released to Special Sentence,,,,,Yes,,,
2013,2016,Black - Non-Hispanic,,Under 25,D Felony,Violent,Assault,Paroled to Detainer - INS,,No,Paroled to Detainer - INS,,,,,Yes,,,
2013,2016,Black - Non-Hispanic,,Under 25,D Felony,Violent,Assault,Paroled to Detainer - INS,,No,Paroled to Detainer - INS,,,,,Yes,,,
2013,2016,Black - Non-Hispanic,,25-34,Aggravated Misdemeanor,Violent,Assault,Parole Granted,1JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Hispanic,,25-34,Aggravated Misdemeanor,Public Order,Weapons,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,45-54,Aggravated Misdemeanor,Violent,Assault,Paroled to Detainer - Out of State,7JD,No,Paroled to Detainer - Out of State,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Other,Other Criminal,Released to Special Sentence,3JD,No,Released to Special Sentence,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Other,Other Criminal,Released to Special Sentence,3JD,No,Released to Special Sentence,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,45-54,Aggravated Misdemeanor,Public Order,Traffic,Parole Granted,1JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,45-54,Aggravated Misdemeanor,Public Order,Traffic,Parole Granted,1JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,35-44,D Felony,Other,Other Criminal,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,Black - Non-Hispanic,,25-34,D Felony,Property,Vandalism,Paroled to Detainer - INS,5JD,No,Paroled to Detainer - INS,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,45-54,D Felony,Public Order,OWI,Parole Granted,1JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,45-54,D Felony,Public Order,OWI,Parole Granted,1JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,45-54,C Felony,Property,Burglary,Parole Granted,6JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,Under 25,C Felony,Property,Burglary,Paroled to Detainer - INS,,No,Paroled to Detainer - INS,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,Under 25,C Felony,Property,Burglary,Paroled to Detainer - INS,,No,Paroled to Detainer - INS,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,45-54,D Felony,Public Order,OWI,Parole Granted,8JD,No,Parole Granted,,,,,Yes,,,
2013,2016,Black - Non-Hispanic,,25-34,D Felony,Violent,Assault,Parole Granted,8JD,No,Parole Granted,,,,,Yes,,,
2013,2016,Black - Non-Hispanic,,25-34,D Felony,Violent,Assault,Parole Granted,8JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,Under 25,D Felony,Property,Burglary,Parole Granted,,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,Under 25,D Felony,Property,Burglary,Parole Granted,,No,Parole Granted,,,,,Yes,,,
2013,2016,Black - Non-Hispanic,,45-54,Felony - Enhancement to Original Penalty,Other,Other Criminal,Parole Granted,1JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Hispanic,,Under 25,D Felony,Drug,Trafficking,Parole Granted,5JD,No,Parole Granted,,,,,Yes,,,
2013,2016,Black - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,Black - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,Black - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,Black - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,Black - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,Black - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,55 and Older,Serious Misdemeanor,Public Order,Alcohol,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,25-34,D Felony,Property,Forgery/Fraud,Parole Granted,5JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,25-34,D Felony,Property,Forgery/Fraud,Parole Granted,5JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,25-34,C Felony,Violent,Other Violent,Parole Granted,2JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,35-44,D Felony,Violent,Assault,Parole Granted,6JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,45-54,B Felony,Drug,Trafficking,Paroled to Detainer - U.S. Marshall,5JD,No,Paroled to Detainer - U.S. Marshall,,,,,Yes,,,
2013,2016,White - Hispanic,,35-44,C Felony,Drug,Trafficking,Parole Granted,5JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Hispanic,,35-44,C Felony,Drug,Trafficking,Parole Granted,5JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Hispanic,,Under 25,D Felony,Drug,Trafficking,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,25-34,D Felony,Violent,Assault,Parole Granted,1JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,25-34,D Felony,Property,Burglary,Paroled w/Immediate Discharge,,No,Paroled w/Immediate Discharge,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole Granted,2JD,No,Parole Granted,,,,,Yes,,,
2013,2016,Black - Non-Hispanic,,45-54,Aggravated Misdemeanor,Violent,Assault,Parole Granted,1JD,No,Parole Granted,,,,,Yes,,,
2013,2016,Black - Non-Hispanic,,25-34,D Felony,Property,Theft,Parole Granted,1JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,25-34,B Felony,Violent,Other Violent,Parole Granted,2JD,No,Parole Granted,,,,,Yes,,,
2013,2016,Black - Non-Hispanic,,55 and Older,D Felony,Drug,Drug Possession,Paroled w/Immediate Discharge,,No,Paroled w/Immediate Discharge,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,25-34,D Felony,Public Order,OWI,Paroled w/Immediate Discharge,5JD,No,Paroled w/Immediate Discharge,,,,,Yes,,,
2013,2016,White - Hispanic,,35-44,Aggravated Misdemeanor,Violent,Assault,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,35-44,C Felony,Drug,Other Drug,Parole Granted,5JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,35-44,C Felony,Violent,Sex,Released to Special Sentence,,No,Released to Special Sentence,,,,,Yes,,,
2013,2016,Black - Non-Hispanic,,45-54,D Felony,Public Order,OWI,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,35-44,Aggravated Misdemeanor,Drug,Drug Possession,Parole Granted,2JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,35-44,C Felony,Drug,Trafficking,Parole Granted,7JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,25-34,D Felony,Public Order,OWI,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,25-34,D Felony,Public Order,OWI,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,25-34,D Felony,Public Order,OWI,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,25-34,D Felony,Public Order,OWI,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,25-34,D Felony,Public Order,OWI,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,25-34,D Felony,Public Order,OWI,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,25-34,D Felony,Public Order,OWI,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,Under 25,C Felony,Property,Arson,Parole Granted,2JD,No,Parole Granted,,,,,Yes,,,
2013,2016,Black - Non-Hispanic,,25-34,D Felony,Drug,Other Drug,Parole Granted,7JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Hispanic,,Under 25,D Felony,Property,Burglary,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Property,Forgery/Fraud,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Hispanic,,45-54,D Felony,Public Order,OWI,Paroled to Detainer - INS,,No,Paroled to Detainer - INS,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,25-34,C Felony,Violent,Murder/Manslaughter,Paroled to Detainer - INS,,No,Paroled to Detainer - INS,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,25-34,Felony - Enhancement to Original Penalty,Drug,Trafficking,Parole Granted,2JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,25-34,Felony - Enhancement to Original Penalty,Drug,Trafficking,Parole Granted,2JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,55 and Older,Aggravated Misdemeanor,Violent,Sex,Released to Special Sentence,6JD,No,Released to Special Sentence,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Property,Forgery/Fraud,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,45-54,C Felony,Property,Theft,Parole Granted,7JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Property,Forgery/Fraud,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Property,Forgery/Fraud,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,Black - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Public Order,Traffic,Paroled w/Immediate Discharge,1JD,No,Paroled w/Immediate Discharge,,,,,Yes,,,
2013,2016,Black - Non-Hispanic,,35-44,Felony - Enhancement to Original Penalty,Drug,Trafficking,Parole Granted,7JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,45-54,C Felony,Property,Burglary,Parole Granted,5JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,45-54,C Felony,Property,Burglary,Parole Granted,5JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,45-54,C Felony,Property,Burglary,Parole Granted,5JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,45-54,C Felony,Violent,Sex,Released to Special Sentence,7JD,No,Released to Special Sentence,,,,,Yes,,,
2013,2016,American Indian or Alaska Native - Non-Hispanic,,35-44,C Felony,Violent,Assault,Parole Granted,5JD,No,Parole Granted,,,,,Yes,,,
2013,2016,Black - Non-Hispanic,,Under 25,D Felony,Drug,Trafficking,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,Black - Non-Hispanic,,Under 25,D Felony,Drug,Trafficking,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Hispanic,,25-34,D Felony,Public Order,OWI,Paroled to Detainer - INS,,No,Paroled to Detainer - INS,,,,,Yes,,,
2013,2016,White - Hispanic,,25-34,D Felony,Public Order,OWI,Paroled to Detainer - INS,,No,Paroled to Detainer - INS,,,,,Yes,,,
2013,2016,White - Hispanic,,25-34,D Felony,Public Order,OWI,Paroled to Detainer - INS,,No,Paroled to Detainer - INS,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,45-54,D Felony,Drug,Trafficking,Parole Granted,,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,35-44,D Felony,Property,Forgery/Fraud,Parole Granted,2JD,No,Parole Granted,,,,,Yes,,,
2013,2016,Black - Non-Hispanic,,25-34,D Felony,Public Order,Weapons,Parole Granted,1JD,No,Parole Granted,,,,,Yes,,,
2013,2016,Black - Non-Hispanic,,25-34,D Felony,Public Order,Weapons,Parole Granted,1JD,No,Parole Granted,,,,,Yes,,,
2013,2016,Black - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Property,Theft,Parole Granted,5JD,No,Parole Granted,,,,,Yes,,,
2013,2016,Black - Non-Hispanic,,Under 25,C Felony,Violent,Other Violent,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,45-54,C Felony,Property,Burglary,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Hispanic,,25-34,Aggravated Misdemeanor,Violent,Assault,Parole Granted,5JD,No,Parole Granted,,,,,Yes,,,
2013,2016,White - Non-Hispanic,,55 and Older,Aggravated Misdemeanor,Public Order,OWI,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,White - Non-Hispanic,,55 and Older,Aggravated Misdemeanor,Public Order,OWI,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,Black - Non-Hispanic,,45-54,Aggravated Misdemeanor,Violent,Assault,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,Black - Non-Hispanic,,45-54,Aggravated Misdemeanor,Violent,Assault,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,Black - Non-Hispanic,,45-54,Aggravated Misdemeanor,Violent,Assault,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,Black - Non-Hispanic,,45-54,Aggravated Misdemeanor,Violent,Assault,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,Black - Non-Hispanic,,45-54,Aggravated Misdemeanor,Violent,Assault,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,Black - Non-Hispanic,,45-54,Aggravated Misdemeanor,Violent,Assault,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,Black - Non-Hispanic,,45-54,Aggravated Misdemeanor,Violent,Assault,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,Black - Non-Hispanic,,45-54,Aggravated Misdemeanor,Violent,Assault,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
2013,2016,Black - Non-Hispanic,,45-54,Aggravated Misdemeanor,Violent,Assault,Discharged - Expiration of Sentence,,No,Discharged - Expiration of Sentence,,,,,No,,,
